covariate,coef,HR,exp(coef) lower 95%,exp(coef) upper 95%,p
SeniorCitizen,-0.022013081005454526,0.9782274387690538,0.8637120532382978,1.1079258629920343,0.7289389760172433
tenure,-0.2555723794337124,0.7744730786089684,0.7670826755200799,0.7819346840070203,0.0
MonthlyCharges,0.011704614060263121,1.0117733810907,1.0099148801873405,1.013635302109631,9.908704418224726e-36
gender_Male,-0.028695390473418587,0.9717124122479278,0.8890027423847618,1.0621170971686662,0.5272437644925112
Partner_Yes,-0.001318824185729775,0.9986820450807081,0.9136597421763317,1.0916162561686984,0.9768244403118066
Dependents_Yes,-0.04339688856199971,0.9575312814282789,0.8673919992096674,1.0570378280513233,0.38961962894755686
PhoneService_Yes,0.022072091499775556,1.0223174822144554,0.8819988674271616,1.1849596105378377,0.7695067180664313
MultipleLines_No phone service,0.022848319700882642,1.0231113419429292,0.8803778261286391,1.1889858955390264,0.76566934370842
MultipleLines_Yes,-0.025873556194820527,0.9744582960341798,0.8873545399246482,1.070112258388256,0.5881133892405701
InternetService_Fiber optic,0.03553427817585658,1.0361731656453133,0.9400163420238826,1.1421661318055594,0.4745429785278714
InternetService_No,0.050120919314865245,1.0513982230426153,0.9173767502721595,1.2049991708305416,0.4712655569782802
OnlineSecurity_No internet service,-0.030128359774119,0.9703209753733277,0.8510178672593998,1.106349033871059,0.6526373869678812
OnlineSecurity_Yes,-0.022187917335643705,0.9780564240237999,0.8842691260819294,1.0817909846211147,0.6661786183212977
OnlineBackup_No internet service,0.048570417032014875,1.0497692908554774,0.9223546627776577,1.1947850523187122,0.46191460944684115
OnlineBackup_Yes,0.013267465044104915,1.013355868388575,0.9191343243853406,1.1172361740317802,0.7898865604584513
DeviceProtection_No internet service,0.0032082421786331933,1.0032133940956307,0.8809544223167651,1.1424394822221464,0.9614091733793217
DeviceProtection_Yes,-0.008908074126174422,0.9911314852131542,0.898780117967053,1.0929721311623886,0.8583252128839957
TechSupport_No internet service,-0.27322959479247294,0.7609180647468055,0.6620699649280698,0.8745243432405643,0.00011889811260790637
TechSupport_Yes,-0.29816418429655966,0.7421794755288419,0.6687023952386687,0.8237302241151209,2.0757909659739104e-08
StreamingTV_No internet service,0.06407709320773744,1.0661745904124387,0.9384843120215778,1.211238422081365,0.3248703509058171
StreamingTV_Yes,0.053336579534807714,1.0547846042914433,0.957488099237312,1.16196803107681,0.2800643193563781
StreamingMovies_No internet service,-0.07857821531972459,0.9244297525351595,0.8069761648386432,1.0589784489398018,0.2570439737936686
StreamingMovies_Yes,-0.062473590805786704,0.9394378722830957,0.8538621141437774,1.0335902029858455,0.19984394197419658
Contract_One year,-0.8263517369069945,0.4376430142412427,0.38621110231804257,0.49592413776969985,2.2029692803685582e-38
Contract_Two year,-2.9798752300944464,0.050799171677358534,0.03838514798875058,0.0672279769212306,1.7586561120980568e-96
PaperlessBilling_Yes,-0.021780477212960874,0.9784550046465499,0.894123765091286,1.070740129606259,0.6357606409234322
PaymentMethod_Credit card (automatic),0.03310232953313209,1.0336563073969651,0.9067764720757651,1.1782896829862344,0.6203125186548974
PaymentMethod_Electronic check,0.06530466106922794,1.0674841957246066,0.9468511209799401,1.2034864646328618,0.2858129472690646
PaymentMethod_Mailed check,0.0035740634062552982,1.003580457986814,0.8791182029610092,1.1456636118564063,0.9578082889767466
