customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,Yes,Yes,4,Yes,No,No,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),62.02472366622834,248.1,Yes
CUST00002,Female,0,Yes,Yes,44,No,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,No,Credit card (automatic),85.95847263805676,3782.17,No
CUST00003,Male,1,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),76.21104233547891,1676.64,No
CUST00004,Male,0,Yes,Yes,39,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Electronic check,102.95157397154303,4015.11,No
CUST00005,Male,1,No,No,62,No,No phone service,DSL,No,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,44.01110146895078,2728.69,No
CUST00006,Female,0,Yes,No,2,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,40.09861229461051,80.2,Yes
CUST00007,Male,1,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,97.90341382849658,195.81,Yes
CUST00008,Male,0,Yes,No,32,Yes,No phone service,DSL,No,No,No internet service,No,No,No,One year,No,Electronic check,74.49686942555505,2383.9,No
CUST00009,Male,1,No,Yes,40,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),58.69728138186189,2347.89,No
CUST00010,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,50.39699566532388,856.75,No
CUST00011,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,No,Mailed check,85.35262502680071,768.17,No
CUST00012,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,55.34146613356752,1162.17,No
CUST00013,Male,1,Yes,Yes,7,Yes,Yes,No,No,No internet service,No,Yes,No,No,One year,No,Bank transfer (automatic),84.47823491431436,591.35,Yes
CUST00014,Male,0,Yes,No,5,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,96.66710709486242,483.34,No
CUST00015,Female,1,No,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),67.59715393216885,878.76,No
CUST00016,Male,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,31.062015256057755,124.25,Yes
CUST00017,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),79.21253555243743,1029.76,No
CUST00018,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.68283144438553,5746.34,No
CUST00019,Female,0,No,No,36,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,94.9996902836937,3419.99,Yes
CUST00020,Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.12032050962074,3870.74,No
CUST00021,Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,22.101119176353052,707.24,No
CUST00022,Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,No internet service,One year,Yes,Mailed check,53.64401637038695,429.15,No
CUST00023,Female,0,No,No,33,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),52.582577975159765,1735.23,No
CUST00024,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.33898262981535,4403.29,No
CUST00025,Female,0,Yes,Yes,58,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,75.30874581212069,4367.91,No
CUST00026,Female,0,No,No,22,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,87.47899846716513,1924.54,Yes
CUST00027,Female,1,No,No,4,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,47.98812513460079,191.95,Yes
CUST00028,Female,0,Yes,No,1,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),70.32043152124065,70.32,Yes
CUST00029,Female,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),18.0,54.0,No
CUST00030,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.76937542404207,3669.55,No
CUST00031,Male,0,No,No,12,Yes,No,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,27.910401562701075,334.92,No
CUST00032,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),108.47423393049377,4122.02,No
CUST00033,Female,0,No,No,12,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,Yes,Two year,No,Credit card (automatic),76.68109969256945,920.17,No
CUST00034,Female,0,Yes,No,21,No,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),75.65316219756711,1588.72,No
CUST00035,Female,0,No,No,1,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Credit card (automatic),34.37545259391088,34.38,Yes
CUST00036,Male,0,Yes,No,5,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),61.77415843052457,308.87,No
CUST00037,Female,0,Yes,Yes,11,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.50821759944301,896.59,Yes
CUST00038,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),43.21294873559373,821.05,No
CUST00039,Male,0,No,No,3,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),53.576551505648254,160.73,No
CUST00040,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),92.65633478709796,2594.38,No
CUST00041,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,38.196170721859914,343.77,No
CUST00042,Male,0,No,No,34,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),54.206031673380146,1843.01,No
CUST00043,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),44.55561941989502,89.11,Yes
CUST00044,Female,0,No,No,22,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),73.47487088291538,1616.45,Yes
CUST00045,Female,1,No,No,6,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,84.38001377974113,506.28,Yes
CUST00046,Female,0,Yes,No,31,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,105.15474977233634,3259.8,No
CUST00047,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),74.89248885809094,748.92,No
