customerID,tenure,Contract,MonthlyCharges,risk_score,risk_category,Churn
CUST00001,4,Month-to-month,62.02472366622834,101.64224382743268,Very High,Yes
CUST00002,44,Two year,85.95847263805676,0.00018750905027577734,Low,No
CUST00003,22,Two year,76.21104233547891,0.06499760323103825,Low,No
CUST00004,39,One year,102.95157397154304,0.007460218821965076,Low,No
CUST00005,62,Two year,44.01110146895078,1.5681059464369352e-06,Low,No
CUST00006,2,Month-to-month,40.09861229461051,103.19948794295331,Very High,Yes
CUST00007,2,One year,97.90341382849658,117.39383074457979,Very High,Yes
CUST00008,32,One year,74.49686942555505,0.04621873263972561,Low,No
CUST00009,40,Two year,58.69728138186189,0.00043861489142821015,Low,No
CUST00010,17,Two year,50.39699566532388,0.12803818084877494,Medium,No
CUST00011,9,Month-to-month,85.35262502680071,29.366969367164206,High,No
CUST00012,21,Month-to-month,55.34146613356752,0.955470249685276,Medium,No
CUST00013,7,One year,84.47823491431436,21.107951658447018,High,Yes
CUST00014,5,Two year,96.66710709486242,4.87814758202284,High,No
CUST00015,13,Month-to-month,67.59715393216885,8.834605037145046,High,No
CUST00016,4,Month-to-month,31.062015256057755,56.37078145117977,Very High,Yes
CUST00017,13,Month-to-month,79.21253555243743,14.075953933307629,High,No
CUST00018,62,Month-to-month,92.68283144438551,5.516575934683143e-05,Low,No
CUST00019,36,Month-to-month,94.9996902836937,0.0473334481715016,Low,Yes
CUST00020,56,Month-to-month,69.12032050962074,0.00019628681313908574,Low,No
CUST00021,32,Month-to-month,22.10111917635305,0.063713298039553,Low,No
CUST00022,8,One year,53.64401637038695,13.852495359578885,High,No
CUST00023,33,One year,52.582577975159765,0.019615432480016612,Low,No
CUST00024,51,Month-to-month,86.33898262981535,0.0006748614205895936,Low,No
CUST00025,58,Month-to-month,75.30874581212069,0.00012410293781329887,Low,No
CUST00026,22,Month-to-month,87.47899846716513,1.5539486577473698,Medium,Yes
CUST00027,4,Month-to-month,47.98812513460079,64.50082595450715,Very High,Yes
CUST00028,1,One year,70.32043152124065,124.00755626675425,Very High,Yes
CUST00029,3,Month-to-month,18.0,84.16150908926326,Very High,No
CUST00030,67,Month-to-month,54.76937542404207,7.616518409694424e-06,Low,No
CUST00031,12,Month-to-month,27.910401562701075,9.760467273766112,High,No
CUST00032,38,Month-to-month,108.47423393049375,0.03107203860091633,Low,No
CUST00033,12,Two year,76.68109969256945,0.5917824989006417,Medium,No
CUST00034,21,Two year,75.65316219756711,0.08264410591146276,Low,No
CUST00035,1,Month-to-month,34.37545259391088,207.92233505002082,Very High,Yes
CUST00036,5,One year,61.77415843052457,39.89247300963669,Very High,No
CUST00037,11,Month-to-month,81.50821759944301,23.38484229109892,High,Yes
CUST00038,19,Two year,43.21294873559373,0.09476482637353438,Low,No
CUST00039,3,Two year,53.576551505648254,4.884457037123042,High,No
CUST00040,28,Month-to-month,92.65633478709796,0.28521188315389995,Medium,No
CUST00041,9,Two year,38.19617072185992,0.8830069057222929,Medium,No
CUST00042,34,Month-to-month,54.20603167338015,0.047832987561557884,Low,No
CUST00043,2,One year,44.55561941989502,53.30710202662796,Very High,Yes
CUST00044,22,Month-to-month,73.47487088291538,0.8972821386986896,Medium,Yes
CUST00045,6,Month-to-month,84.38001377974113,58.71099633495719,Very High,Yes
CUST00046,31,Two year,105.15474977233634,0.009341230284721771,Low,No
CUST00047,10,Month-to-month,74.89248885809094,30.839328597627418,High,No
CUST00048,21,Month-to-month,96.18583386084492,1.7080692851616561,Medium,No
CUST00049,54,Two year,74.17307843257703,1.415931211202392e-05,Low,No
CUST00050,1,Month-to-month,30.830176098039225,164.0720172630059,Very High,No
CUST00051,1,Two year,65.9951178700411,8.603685217542218,High,No
CUST00052,29,Month-to-month,66.37811283008945,0.17954635554323062,Medium,No
CUST00053,20,Two year,91.64776796789415,0.10147715125529937,Low,No
CUST00054,6,Month-to-month,62.64410586906328,64.77914574446137,Very High,Yes
CUST00055,13,Month-to-month,55.71653594389224,9.959014730759206,High,Yes
CUST00056,1,Two year,43.71094574419289,9.45946208667745,High,No
CUST00057,4,Two year,58.46875986266914,5.617373537645701,High,No
CUST00058,11,Month-to-month,62.76948096365465,12.904994492295723,High,No
CUST00059,35,Two year,79.90762071536956,0.0024554809437175983,Low,No
CUST00060,13,Month-to-month,44.61407570467439,9.269955595894496,High,No
CUST00061,17,Month-to-month,120.0,7.640588684034588,High,Yes
CUST00062,41,Month-to-month,42.39343564140757,0.00515346093591147,Low,No
CUST00063,7,Two year,33.025921410205136,1.3552612309444712,Medium,No
CUST00064,24,Month-to-month,77.74985054956971,0.8007578811625022,Medium,No
CUST00065,39,Month-to-month,33.040451253904976,0.009530473942425424,Low,No
CUST00066,4,Two year,65.63961458632416,4.382070949302827,High,No
